"AED","AFN","ALL","AMD","ANG","AOA","ARS","AUD","AWG","AZN","BAM","BBD","BDT","BGN","BHD","BIF","BMD","BND","BOB","BRL","BSD","BTC","BTN","BWP","BYR","BZD","CAD","CDF","CHF","CLF","CLP","CNY","COP","CRC","CUC","CUP","CVE","CZK","DJF","DKK","DOP","DZD","EEK","EGP","ERN","ETB","EUR","FJD","FKP","GBP","GEL","GGP","GHS","GIP","GMD","GNF","GTQ","GYD","HKD","HNL","HRK","HTG","HUF","IDR","ILS","IMP","INR","IQD","IRR","ISK","JEP","JMD","JOD","JPY","KES","KGS","KHR","KMF","KPW","KRW","KWD","KYD","KZT","LAK","LBP","LKR","LRD","LSL","LTL","LVL","LYD","MAD","MDL","MGA","MKD","MMK","MNT","MOP","MRO","MTL","MUR","MVR","MWK","MXN","MYR","MZN","NAD","NGN","NIO","NOK","NPR","NZD","OMR","PAB","PEN","PGK","PHP","PKR","PLN","PYG","QAR","RON","RSD","RUB","RWF","SAR","SBD","SCR","SDG","SEK","SGD","SHP","SLL","SOS","SRD","STD","SVC","SYP","SZL","THB","TJS","TMT","TND","TOP","TRY","TTD","TWD","TZS","UAH","UGX","USD","UYU","UZS","VEF","VND","VUV","WST","XAF","XAG","XAU","XCD","XDR","XOF","XPD","XPF","XPT","YER","ZAR","ZMK","ZMW","ZWL","date"
3.67324,62.19,127.6969,478.337502,1.7888,125.895332,9.226451,1.34787,1.793333,1.04995,1.786151,2,77.817439,1.785086,0.377018,1557.3,1,1.383835,6.881541,3.508379,1,0.0035940389,63.7952,10.150313,15673.85,2.014086,1.313864,926.748,0.982935,0.024598,678.592199,6.208812,2942.109984,533.6345,1,0.999988,100.544147865,24.6779,177.750001,6.811423,45.09564,100.71358,14.301975,7.828116,15.14,20.85419,0.911841,2.134183,0.64542,0.64542,2.3088,0.64542,3.845921,0.64542,39.81138,7371.787598,7.640976,205.967336,7.752442,21.88186,6.89483,53.112125,283.725398,13530.266667,3.805075,0.64542,63.75367,1164.3225,29667,134.187999,0.64542,116.9692,0.708408,124.349,101.21205,61.928501,4114.985098,449.795749,900.09,1166.595007,0.303265,0.825045,187.6828,8233.610098,1506.74501,133.755201,84.580002,12.66205,3.102315,0.635122,1.374795,9.848035,19.06705,3296.786634,56.18576,1081.1081,1982.833333,7.98386,324.76,0.683738,35.576725,15.29165,516.987603,16.20063,3.917235,38.387501,12.65764,198.988101,27.17397,8.270461,102.00464,1.510014,0.384944,1,3.200043,2.767175,45.79125,101.8113,3.819053,5193.006667,3.641251,4.026946,109.743299,63.98779,719.158254,3.749913,7.969431,13.2162,6.071115,8.757552,1.38467,0.64542,3810,669.265003,3.2825,22454.725,8.746666,188.831003,12.67392,35.14451,6.2602,3.501567,1.966546,2.221422,2.781592,6.33475,31.60326,2102.890033,21.2,3515.47,1,28.47731,2577.594971,6.320537,21807.066667,108.97,2.557297,599.89683,0.0674675,0.000912,2.70102,0.718221,600.34429,0.001677,109.087651,0.00104,215.147999,12.65356,5252.024745,7.857083,322.322775,2015-08-08 09:00:00
3.673234,62.19,127.6461,478.337502,1.7888,125.895332,9.227153,1.34787,1.793333,1.04995,1.785298,2,77.840369,1.784405,0.377026,1557.1075,1,1.38382,6.882398,3.512688,1,0.0038027253,63.809833,10.150313,15698.85,2.014413,1.313059,926.51825,0.983292,0.024602,678.025299,6.20881,2939.273317,533.6903,1,0.999988,100.544147865,24.66807,177.750001,6.808821,45.10586,100.75018,14.288275,7.828204,15.14,20.86979,0.911841,2.134183,0.64542,0.64542,2.309267,0.64542,3.840907,0.64542,39.8051,7326.990098,7.641733,206.026669,7.752555,21.88418,6.889535,53.112125,283.724298,13533.333333,3.803891,0.64542,63.75909,1161.7725,29667,134.141999,0.64542,116.9688,0.708382,124.3154,101.21275,61.928501,4089.725098,449.802249,900.09,1165.73334,0.303255,0.823372,187.7148,8230.307598,1506.68001,133.796501,84.580002,12.646338,3.100806,0.634712,1.375021,9.845797,19.07139,3291.231634,56.16044,1081.1081,1982.833333,7.974108,324.70275,0.683602,35.590125,15.289433,516.790003,16.18327,3.920141,38.387501,12.64507,198.897701,27.17637,8.271827,102.02614,1.510014,0.384951,1,3.201612,2.767175,45.797,101.8302,3.818783,5193.856667,3.641219,4.025572,109.704299,64.05534,722.244129,3.749932,7.969431,13.2166,6.072715,8.764999,1.384824,0.64542,3810,669.177878,3.2825,22444.375,8.733675,188.831003,12.66135,35.14279,6.2602,3.501567,1.965771,2.221422,2.780797,6.334316,31.60326,2102.516699,21.13706,3520.35,1,28.46208,2577.594971,6.320526,21809.566667,108.97,2.557297,599.63203,0.0674675,0.000912,2.70102,0.718221,600.08049,0.001677,109.070151,0.00104,215.151899,12.64099,5252.024745,7.859108,322.387247,2015-08-09 09:00:00
3.67297,62.325,127.6359,478.305002,1.78875,125.892666,9.230848,1.34929,1.793333,1.049925,1.783913,2,77.843789,1.78281,0.377006,1560.5,1,1.383463,6.88352,3.507515,1,0.003771416,63.796166,10.158763,15697,2.014825,1.313546,926.5,0.983409,0.024598,677.953999,6.20863,2938.149984,533.764,1,0.999988,100.554953835,24.65404,177.745001,6.8044,45.114,100.80332,14.267675,7.826763,15.14,20.85582,0.911939,2.134183,0.645452,0.645452,2.3097,0.645452,3.831,0.645452,39.59,7387.475098,7.64176,205.943336,7.752141,21.9173,6.88351,53.42235,283.331198,13532.6,3.80306,0.645452,63.75362,1171.875,29721.5,134.157999,0.645452,116.976,0.708246,124.2777,101.1952,62.740501,4124.975098,448.896897,899.91,1165.631667,0.30322,0.82382,187.673,8254.975098,1507.52001,133.759001,86.080002,12.628213,3.098393,0.63411,1.369988,9.845031,19.08577,3291.949967,56.1076,1080.8919,1984.5,7.97744,325,0.683602,35.609525,15.26,515.807003,16.16182,3.92328,38.587501,12.63039,199.020001,27.2489,8.264079,102.09144,1.512569,0.384833,1,3.2023,2.767175,45.78019,101.834,3.816282,5201.45,3.641363,4.02489,109.651001,64.0254,723.320004,3.750219,7.969431,13.34349,6.045525,8.763467,1.384682,0.645452,3745,669.975003,3.2825,22447.5,8.73725,188.821003,12.62839,35.15074,6.2602,3.501467,1.96581,2.221422,2.780619,6.33362,31.5818,2103.083366,21.10866,3523.966667,1,28.46204,2577.594971,6.32062,21813.666667,109.126667,2.558185,599.086705,0.0675175,0.0009175,2.70102,0.718271,600.120985,0.001677,109.054863,0.00104,215.139999,12.63477,5252.024745,7.860913,322.322775,2015-08-10 09:00:00
3.67305,62.475,127.403899,478.522502,1.78875,125.859334,9.222348,1.349285,1.793333,1.0507,1.777238,2,77.835389,1.77676,0.377197,1557.349976,1,1.383425,6.88157,3.45262,1,0.0037930641,63.823234,10.148788,15757,2.014838,1.303519,926.5,0.983648,0.024598,674.461997,6.20942,2918.43332,533.756998,1,0.999938,100.08665838,24.55765,177.63375,6.779733,45.1062,101.1001,14.235575,7.829432,15.14,20.8031,0.907692,2.1195,0.64157,0.64157,2.299575,0.64157,3.9078,0.64157,39.673,7349.975098,7.63961,205.943336,7.752602,21.91478,6.84265,52.426466,282.854799,13528.1,3.79934,0.64157,63.78653,1171.424988,29737,133.717999,0.64157,117.033,0.70847,124.4894,101.124701,62.740501,4127.475098,447.776673,900.09,1162.253315,0.30289,0.82382,187.843,8224.975098,1507.5,133.788999,86.080002,12.647775,3.094843,0.633133,1.369988,9.81389,19.02082,3312.016699,55.9322,1081.1081,1984.166667,7.98129,323.5,0.683602,35.616301,15.306667,513.367997,16.16587,3.92914,38.562501,12.64822,199.206,27.2538,8.211409,102.101441,1.512877,0.384859,1,3.20083,2.767175,45.79618,101.833001,3.812773,5198.363346,3.64145,4.00864,109.390341,63.19462,731.165004,3.750209,7.980556,13.17717,6.095788,8.70569,1.381997,0.64157,3744.6255,669.975003,3.2825,22372.5,8.740963,188.821003,12.64822,35.1159,6.2602,3.501467,1.95937,2.220978,2.772496,6.32625,31.5426,2104.766634,21.2487,3534.966667,1,28.4506,2580.13501,6.32062,21818.666667,109.093334,2.557116,597.902296,0.0654185,0.0009075,2.70102,0.717541,597.265796,0.001651,108.658987,0.001011,215.176001,12.64592,5253.075255,7.857163,322.322775,2015-08-11 09:00:00
3.67307,62.665,126.618301,478.500002,1.78875,125.926,9.226909,1.368308,1.793333,1.0521,1.773935,2,77.77441,1.773453,0.377218,1552.9525,1,1.396921,6.885104,3.479083,1,0.0037032305,64.08025,10.138438,15757.025,2.014343,1.310965,926.0765,0.987498,0.024602,680.548904,6.302642,2936.70498,533.677301,1,0.999913,99.854771085,24.50391,177.68875,6.766765,45.17066,101.392899,14.214375,7.827629,15.14,20.79006,0.905589,2.133167,0.641869,0.641869,2.2976,0.641869,3.955,0.641869,39.813,7279.912598,7.646766,205.959169,7.758965,21.90971,6.83928,52.941625,282.425797,13623.066667,3.813607,0.641869,64.21951,1155.534964,29737,133.432999,0.641869,117.0431,0.708622,124.974199,101.003339,62.588201,4093.130098,446.449298,900.09,1174.08499,0.302895,0.82372,187.883801,8198.950098,1508.096667,133.805701,86.080002,12.759763,3.092519,0.632501,1.367664,9.808872,18.92869,3312.176667,55.8182,1080.8919,1984.833333,7.987944,323.062,0.683602,35.613226,15.311667,522.489882,16.28529,3.967201,38.575,12.76881,199.120301,27.24778,8.265088,102.300461,1.526977,0.385014,1,3.213983,2.767575,46.00505,101.7908,3.804787,5199.225,3.642378,4.00157,109.1338,64.15488,725.235004,3.750692,8.001312,13.07455,6.08742,8.676355,1.398232,0.641869,3744.6255,670.567503,3.2825,22294.575,8.741194,188.821003,12.76581,35.29849,6.2602,3.501467,1.961898,2.220978,2.780393,6.326619,31.9116,2105.38335,21.47734,3536.916667,1,28.44066,2580.13501,6.32047,21813.683333,109.093334,2.557535,595.819296,0.0653105,0.000901,2.70102,0.716018,595.184196,0.00167,108.430962,0.001009,215.179999,12.76295,5253.075255,7.80977,322.387247,2015-08-12 09:00:00
3.673081,62.78,125.3924,478.312502,1.78875,125.892666,9.230181,1.354618,1.793333,1.0505,1.758004,2,77.702301,1.75732,0.377228,1544.745,1,1.397378,6.879785,3.47636,1,0.003726278,64.591066,10.129938,15872.15,2.012735,1.299565,926.91675,0.977065,0.024598,681.740904,6.374764,2933.573317,533.130598,1,0.999825,98.82963738,24.28019,177.738751,6.705362,45.06392,101.79352,14.1095,7.829775,15.14,20.76725,0.896292,2.119483,0.640309,0.640309,2.322,0.640309,4.005675,0.640309,39.88974,7296.990098,7.642055,205.778836,7.755834,21.89513,6.790397,53.203075,279.676003,13741.216667,3.807121,0.640309,64.771739,1155.759976,29736.5,132.327001,0.640309,117.006699,0.708486,124.3105,101.15287,62.457401,4119.670098,443.8279,899.91,1179.874985,0.302562,0.82325,187.731399,8181.425098,1505.01,133.7085,86.080002,12.750938,3.080935,0.629369,1.367065,9.752016,18.90433,3302.661667,55.26849,1080.8919,1984.5,7.980249,321.562,0.683602,35.465875,15.321767,525.04922,16.25816,3.986399,38.650001,12.75475,198.671699,27.22655,8.17307,103.18742,1.512302,0.385038,1,3.218703,2.76695,46.15541,101.762499,3.764159,5201.746667,3.641433,3.963535,108.154441,64.21831,727.661629,3.750838,7.969431,13.09311,6.081946,8.612969,1.39882,0.640309,3745.3745,670.016503,3.2825,22062.75,8.736333,188.821003,12.75475,35.27176,6.2647,3.501467,1.951635,2.220978,2.77656,6.337391,32.0637,2112.076699,21.32264,3538.715,1,28.39189,2580.13501,6.320549,21939.5,109.21,2.562884,589.982517,0.0644545,0.0008895,2.70102,0.713134,589.339237,0.001606,107.389887,0.001001,215.145799,12.75064,5253.075255,7.841313,322.387247,2015-08-13 09:00:00
3.673103,62.960001,125.593299,478.402501,1.78875,125.859334,9.23353,1.357692,1.793333,1.0502,1.755084,2,77.78695,1.754852,0.377109,1556.7925,1,1.398778,6.878591,3.511943,1,0.0037910825,64.997967,10.142738,15951.55,2.0145,1.306395,927.222,0.97671,0.024598,684.863399,6.39959,2940.554964,533.607105,1,0.9998,98.865032445,24.24472,177.556251,6.696727,45.14196,103.45418,14.05405,7.828728,15.14,20.78633,0.896613,2.123233,0.640557,0.640557,2.315825,0.640557,4.07417,0.640557,39.9224,7313.717598,7.648525,205.918336,7.755617,21.90846,6.77548,53.14795,278.341701,13724.216667,3.796863,0.640557,65.075321,1168.524951,29736,132.107,0.640557,117.079,0.70824,124.4597,101.63005,62.40405,4121.685098,443.063129,899.91,1177.999998,0.302522,0.824295,187.9917,8171.675098,1507.191667,133.853599,86.080002,12.7884,3.074824,0.627708,1.369515,9.746443,18.93332,3300.843317,55.19878,1080.8919,1985.166667,7.985485,320.7705,0.683738,35.4286,15.306767,531.706632,16.38738,4.018255,38.712501,12.79472,199.041601,27.24698,8.20966,103.73628,1.523058,0.385009,1,3.230009,2.7668,46.19105,101.8443,3.752665,5218.519967,3.640782,3.957342,107.7641,64.641049,745.074626,3.751181,7.974192,13.09873,6.080274,8.503756,1.399111,0.640557,3745.3745,670.165503,3.2825,22059.625,8.744435,188.821003,12.79272,35.21033,6.2675,3.501467,1.951074,2.220978,2.811216,6.335943,31.9958,2124.663317,21.5054,3543.475,1,28.43799,2580.13501,6.320432,22042.816667,109.21,2.562884,589.770943,0.064916,0.0008985,2.70102,0.713478,589.137263,0.001625,107.375726,0.001006,215.114201,12.80738,5253.075255,7.844631,322.322775,2015-08-14 09:00:00
3.673167,63.150001,125.641001,478.315001,1.788725,125.922667,9.238258,1.355181,1.793333,1.0484,1.759441,2,78.06573,1.759178,0.377273,1561.795,1,1.406176,6.894784,3.483798,1,0.0037671991,65.021116,10.187413,15989.5,2.017335,1.307576,926.3485,0.976084,0.024602,684.882196,6.39416,2976.606667,534.693703,1,1.001225,99.24930597,24.31438,177.643751,6.714971,45.09187,104.68664,14.068625,7.831848,15.14,20.85883,0.900098,2.123383,0.639141,0.639141,2.3186,0.639141,4.053615,0.639141,40.0043,7338.707598,7.661374,206.028002,7.755331,21.9122,6.78958,53.981075,279.505898,13807.35,3.783221,0.639141,65.096799,1159.849964,29736,132.217999,0.639141,117.340301,0.707884,124.306,102.13166,62.068799,4111.017598,442.888904,899.91,1178.710007,0.302483,0.824245,188.5273,8177.307598,1508.041667,134.348401,86.080002,12.816313,3.076395,0.628141,1.371228,9.76176,18.95181,3294.330016,55.36777,1081.1081,1987.833333,8.000642,322.0815,0.683738,35.44845,15.312533,526.719506,16.36054,4.06155,38.8,12.81305,198.8588,27.19817,8.216684,104.100761,1.529192,0.385218,1,3.236124,2.774675,46.22095,101.7802,3.763095,5225.74502,3.641788,3.980866,107.97996,64.81137,727.676244,3.751352,7.969431,13.15007,6.100824,8.515892,1.404849,0.639141,3745.3745,670.104003,3.2825,21998.325,8.744648,188.816003,12.80985,35.24579,6.27,3.5014,1.956001,2.220978,2.825194,6.348289,32.04628,2128.650033,21.94601,3540.726667,1,28.47518,2580.13501,6.32046,22086.716667,109.21,2.563248,590.70495,0.065643,0.000899,2.70102,0.713117,590.07707,0.001621,107.372187,0.001007,215.133901,12.8126,5252.024745,7.891406,322.387247,2015-08-15 09:00:00
3.673159,63.150001,125.642301,478.315001,1.788725,125.922667,9.239227,1.355181,1.793333,1.048375,1.759145,2,78.07869,1.758942,0.377266,1561.83,1,1.406113,6.895226,3.487337,1,0.0038278596,65.044949,10.187413,15987.675,2.017491,1.308621,925.5545,0.975934,0.024602,684.743896,6.392256,2978.243333,534.720403,1,1.001225,99.247872525,24.31055,177.643751,6.714131,45.07804,105.02064,14.0639,7.832027,15.14,20.86085,0.900085,2.123383,0.639141,0.639141,2.318367,0.639141,4.053801,0.639141,40.00241,7347.012598,7.661346,206.061836,7.7556,21.90855,6.786874,53.962625,279.378798,13807.35,3.779669,0.639141,65.109619,1154.177464,29736,132.053999,0.639141,117.350401,0.70788,124.2897,102.239,62.068799,4106.575098,442.515654,899.91,1179.401673,0.302464,0.823617,188.5787,8172.620098,1507.261667,134.366301,86.080002,12.825813,3.075874,0.627999,1.371664,9.760933,18.95394,3291.040016,55.36368,1080.8919,1987.833333,8.001281,322.01625,0.683602,35.446675,15.301367,527.395672,16.37925,4.073084,38.8,12.82065,198.9426,27.20043,8.222468,104.145161,1.529192,0.385244,1,3.236603,2.774675,46.22344,101.7529,3.762399,5230.716686,3.641805,3.981713,107.93346,64.8677,726.767244,3.75141,7.967837,13.16,6.101205,8.502377,1.405927,0.639141,3745.3745,670.154503,3.2825,21975.325,8.739813,188.816003,12.81745,35.24878,6.27,3.5014,1.955944,2.220978,2.832965,6.348205,32.04628,2129.915033,21.998,3541.971667,1,28.48312,2580.13501,6.32045,22099.633333,109.21,2.563248,590.61533,0.065643,0.000899,2.70102,0.713117,589.97925,0.001621,107.313937,0.001007,215.134001,12.82022,5253.075255,7.897068,322.387247,2015-08-16 09:00:00
3.67285,63.270001,125.717901,478.245001,1.78875,125.926667,9.239932,1.355794,1.793333,1.048725,1.76007,2,78.16739,1.759863,0.377328,1563,1,1.407988,6.90314,3.482925,1,0.003881855,65.047332,10.186263,16036.25,2.0204,1.309481,925.25,0.976752,0.024598,684.865996,6.39115,2992.15,534.762003,1,1.001225,99.271689765,24.32911,177.558751,6.71921,45.093,105.16424,14.086,7.832665,15.14,20.8716,0.900301,2.125267,0.639038,0.639038,2.317775,0.639038,4.05638,0.639038,39.824,7427.475098,7.66032,206.321669,7.75587,21.94706,6.79143,53.43035,279.593598,13829.916667,3.779586,0.639038,65.104229,1173.024964,29750.5,132.028001,0.639038,117.398,0.70811,124.3157,102.2769,61.252299,4111.975098,442.802957,900.09,1179.77334,0.302434,0.824417,188.704,8175.975098,1508.333333,134.581001,86.080002,12.826763,3.078331,0.628652,1.369988,9.759698,18.99706,3293.550016,55.4016,1081.1081,1989.5,8.00526,320.25,0.683602,35.451925,15.296667,530.738339,16.3799,4.0714,39.1,12.82141,198.98,27.31626,8.230616,104.239861,1.529399,0.385276,1,3.24066,2.774675,46.22097,101.772,3.76524,5243.67002,3.64213,3.98731,107.98528,64.99264,736.924994,3.751512,7.969431,13.11921,6.0996,8.508238,1.406593,0.639038,3744.6255,669.975003,3.2825,21987.5,8.746025,188.821003,12.82341,35.26432,6.27,3.501467,1.95815,2.221978,2.83374,6.35531,32.0112,2132.583366,22.11686,3548.266667,1,28.54572,2586.38501,6.32042,22141.5,109.193334,2.572384,590.906837,0.065593,0.0008985,2.70102,0.713042,590.185137,0.001621,107.43515,0.001007,215.120001,12.82738,5253.075255,7.911775,322.387247,2015-08-17 09:00:00
3.67301,63.78,125.851899,478.049997,1.788725,125.856667,9.255474,1.356032,1.793333,1.05025,1.764278,2,77.883131,1.76447,0.3774,1554,1,1.408988,6.89957,3.4818,1,0.0038877105,65.251499,10.194663,16053.75,2.0178,1.309195,926.5,0.97802,0.024598,689.442001,6.39399,2996.409993,533.689,1,1.000138,99.539854245,24.38375,177.742501,6.73408,45.00856,105.43432,14.10425,7.830152,15.14,20.8208,0.902733,2.123667,0.641671,0.641671,2.31775,0.641671,4.09172,0.641671,39.93162,7339.925049,7.65388,206.321669,7.755048,21.93604,6.80803,53.362325,279.312999,13822.016667,3.819966,0.641671,65.36243,1170.024964,29750.5,132.214,0.641671,117.273,0.708568,124.398399,102.616901,61.252299,4105.774903,443.522196,900.09,1181.86999,0.302734,0.824417,188.573001,8129.600098,1508.066667,134.190999,86.580002,12.887938,3.080331,0.629186,1.378563,9.77635,19.00389,3307.983366,55.52796,1081.1081,1989.166667,8.00914,318.75,0.683602,35.4498,15.296667,535.78122,16.41907,4.09172,39.087499,12.89449,198.639,27.28758,8.215976,104.4953,1.521269,0.385396,1,3.24241,2.7678,46.2914,101.909,3.759814,5243.283333,3.64165,3.99619,108.388,65.316821,733.853329,3.751212,7.975786,13.04369,6.092238,8.524687,1.407672,0.641671,3744.6255,666.817506,3.2825,22048.25,8.763738,188.816003,12.89569,35.47056,6.27,3.5014,1.95907,2.222422,2.86055,6.34797,32.20958,2116.666699,22.07618,3550.266667,1,28.49558,2588.939942,6.32042,22135.5,109.193334,2.572384,591.678383,0.0652905,0.0008925,2.70102,0.714664,591.672383,0.001631,107.632388,0.001001,215.154001,12.89102,5252.024745,7.9735,322.387247,2015-08-18 09:00:00
3.67309,63.555001,126.172101,477.952502,1.78875,125.826666,9.246393,1.363229,1.793333,1.050788,1.771136,2,77.846251,1.771633,0.377486,1562.65,1,1.405035,6.898294,3.471544,1,0.0040095684,65.308549,10.196938,16237.25,2.016978,1.306845,926.5,0.977522,0.024602,691.655999,6.39512,3001.903366,533.3682,1,0.99995,99.99734373,24.4835,177.745001,6.760744,45.13399,105.55018,14.148275,7.829674,15.14,20.8196,0.906882,2.1255,0.638516,0.638516,2.32015,0.638516,4.115854,0.638516,39.332,7264.087549,7.646864,206.346169,7.75467,21.93401,6.844105,53.103287,280.239097,13837.1,3.842002,0.638516,65.41722,1150.89,29796.5,132.841,0.638516,117.2564,0.708628,124.388499,102.975801,61.11115,4105.482451,444.559305,900.09,1184.626657,0.302826,0.825747,188.416501,8196.477598,1510.295008,134.073301,86.580002,12.895025,3.085215,0.630527,1.381689,9.804404,19.0235,3308.476634,55.70385,1080.8919,1989.5,8.002859,321.81475,0.683738,35.46365,15.31,539.274485,16.40966,4.087605,39.0625,12.89642,199.2734,27.28781,8.271624,104.55708,1.517768,0.385242,1,3.249941,2.771375,46.32778,101.997501,3.774331,5242.688333,3.642823,4.010693,108.8477,65.74982,712.719997,3.750787,7.980556,13.02989,6.093875,8.543459,1.405016,0.638516,3745.3745,666.299994,3.2825,22119.65,8.761296,188.821003,12.89782,35.53184,6.27,3.501467,1.96621,2.222422,2.885221,6.335264,32.2324,2121.841634,21.93616,3552.843333,1,28.49043,2588.939942,6.32042,22117.666667,109.026667,2.567634,593.836364,0.0673535,0.0008925,2.70102,0.715012,595.200184,0.001676,107.948662,0.001007,215.156001,12.89546,5253.075255,7.965974,322.387247,2015-08-19 09:00:00
3.67309,63.330001,126.1157,477.644999,1.78875,125.693334,9.262657,1.360823,1.793333,1.051575,1.761034,2,77.78538,1.76083,0.377374,1553.88,1,1.403983,6.894744,3.489822,1,0.0044501149,65.2889,10.181013,16321.475,2.007776,1.311659,926.5,0.967957,0.024598,695.357397,6.395182,3014.600029,532.914695,1,1.000038,99.180169815,24.3316,177.745001,6.719512,45.00748,105.6323,14.11065,7.830422,15.14,20.81011,0.899471,2.1238,0.637696,0.637696,2.3211,0.637696,4.120106,0.637696,39.36196,7252.042549,7.638006,206.131836,7.753844,21.92179,6.800339,52.909538,279.017901,13802.933333,3.860797,0.637696,65.182539,1148.745,29796.5,132.305,0.637696,117.2068,0.70872,124.0038,103.247101,61.2075,4102.447451,442.633829,899.91,1184.55334,0.302616,0.826023,188.218176,8185.264903,1508.195,133.989699,88.49115,12.897925,3.081058,0.629383,1.380496,9.765811,19.02356,3323.748333,55.42936,1081.1081,1990.166667,7.998996,324.08275,0.683602,35.476275,15.306667,541.262716,16.5733,4.103381,39.065,12.89464,198.6898,27.26852,8.287089,104.43372,1.516437,0.385103,1,3.255704,2.7674,46.3203,101.8882,3.758935,5248.183333,3.641887,3.988286,108.18484,66.45655,709.742872,3.751123,7.975786,13.07282,6.090701,8.522974,1.403392,0.637696,3744.6255,665.75,3.2825,22163.85,8.763343,188.821003,12.89774,35.55509,6.27,3.501467,1.954622,2.222422,2.917013,6.328058,32.30346,2121.975,21.96011,3553.491667,1,28.48675,2588.939942,6.32042,22300.65,109.026667,2.562884,591.846995,0.065592,0.0008815,2.70102,0.714182,591.213315,0.001641,107.587388,0.000988,214.999999,12.89577,5253.075255,7.990864,322.322775,2015-08-20 09:00:00
3.67311,63.330001,125.0599,477.127502,1.78875,125.659999,9.257903,1.363146,1.793333,1.049138,1.747974,2,77.888269,1.746623,0.377695,1568.080003,1,1.403838,6.897043,3.466652,1,0.0042503869,65.453717,10.195988,16501.2,2.004874,1.308174,926.5,0.961842,0.024598,691.086801,6.392668,3043.169984,532.976695,1,1.000213,98.161100685,24.13428,177.745001,6.665647,44.97328,105.3593,14.040675,7.831015,15.14,20.82142,0.890229,2.1207,0.637332,0.637332,2.324875,0.637332,4.18572,0.637332,39.35002,7258.012451,7.638006,206.189169,7.752726,21.93486,6.743119,52.612725,278.248498,13835.566667,3.860319,0.637332,65.42401,1149.437476,29811,131.342,0.637332,117.2659,0.708632,123.5938,103.426199,61.5855,4105.4675,440.428995,899.91,1185.276681,0.302414,0.825458,192.633261,8190.379903,1508.759984,134.0864,88.49115,12.926763,3.07333,0.627297,1.379501,9.717051,19.01715,3317.331699,54.97245,1081.1081,1990.5,7.972403,322.2445,0.683738,35.459625,15.306667,538.4342,16.72751,4.111949,39.2875,12.93781,199.0149,27.28178,8.249573,104.417719,1.50984,0.385097,1,3.262954,2.7683,46.48681,101.9398,3.741118,5255.803333,3.642718,3.952048,107.2131,67.67108,710.029122,3.751425,7.986931,13.04427,6.093225,8.525053,1.403514,0.637332,3744.6255,665.477503,3.2825,22069,8.72867,188.821003,12.94001,35.59139,6.27995,3.501467,1.94501,2.221978,2.91358,6.328178,32.3197,2129.516699,22.1716,3566.67,1,28.523,2588.939942,6.32042,22361.833333,109.026667,2.562884,587.268676,0.0643325,0.000868,2.70102,0.711354,587.944896,0.001605,106.821751,0.000967,214.999999,12.9283,5253.075255,8.117379,322.387247,2015-08-21 09:00:00
3.672814,63.330001,123.7801,477.285002,1.7885,125.903333,9.26077,1.365676,1.793333,1.051338,1.726904,2,77.803871,1.72434,0.377536,1547.750025,1,1.404363,6.885831,3.49596,1,0.0043036223,65.681649,10.140663,16610.775,2.000459,1.317353,926.5,0.949881,0.024602,696.781399,6.387586,3072.579967,532.614698,1,1.00005,96.814544505,23.82631,177.710001,6.580374,44.97918,104.9929,13.881575,7.823918,15.14,20.7974,0.878017,2.11835,0.637139,0.637139,2.337033,0.637139,4.207298,0.637139,39.6888,7239.167598,7.627296,205.856336,7.751413,21.87873,6.663415,52.705725,276.886697,13864.516667,3.87326,0.637139,65.93547,1146.334964,29811,129.888001,0.637139,117.1347,0.708442,122.4296,103.436301,61.6225,4096.479903,437.496668,899.91,1192.616681,0.301832,0.82218,195.659564,8165.582451,1506.66335,133.9449,88.49115,12.9546,3.031344,0.622536,1.375715,9.637982,18.97107,3303.53835,54.22364,1080.8919,1990.5,7.938172,320.63925,0.683738,35.3974,15.306667,546.359494,16.92274,4.164,39.425001,12.94928,198.89,27.17099,8.210653,104.972039,1.495751,0.385072,1,3.265555,2.768175,46.58453,101.736699,3.7208,5264.126667,3.641977,3.907674,106.0133,68.712339,709.034747,3.750857,7.974192,13.03631,6.08864,8.385277,1.40609,0.637139,3744.6255,664.607503,3.2825,21846.9,8.707026,188.766003,12.9409,35.66781,6.27995,3.5008,1.929248,2.222422,2.92299,6.324259,32.61972,2132.34335,22.26888,3576.216667,1,28.47137,2588.939942,6.32042,22442.8,109.673335,2.563248,580.15558,0.0653025,0.000861,2.70102,0.707823,580.80562,0.001655,105.544601,0.000974,215.030001,12.95551,5253.075255,8.142319,322.387247,2015-08-22 09:00:00
